,t_county,wind_speed,avg_temp_K,air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed,power_calc,power_calc_kW,percent_power_cap
21,Cameron County,4.7,297.79,1.200329046,3051887,48-034742,2014-WTW-7360-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,2/5/17,Digital Globe,-97.488129,26.144697,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
22,Cameron County,4.7,297.79,1.200329046,3051928,48-034538,2014-WTW-7409-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.465553,26.252316,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
23,Cameron County,4.7,297.79,1.200329046,3051898,48-034756,2014-WTW-7375-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.522163,26.174335,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
24,Cameron County,4.7,297.79,1.200329046,3051910,48-034535,2014-WTW-7387-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.491302,26.195005,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
25,Cameron County,4.7,297.79,1.200329046,3051890,48-034765,2014-WTW-7365-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.471542,26.154806,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
26,Cameron County,4.7,297.79,1.200329046,3051895,48-034764,2014-WTW-7372-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.532425,26.169386,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
27,Cameron County,4.7,297.79,1.200329046,3051918,48-034757,2014-WTW-7395-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.45372,26.201996,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
28,Cameron County,4.7,297.79,1.200329046,3051886,48-034763,2014-WTW-7359-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,2/5/17,Digital Globe,-97.491631,26.143106,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
29,Cameron County,4.7,297.79,1.200329046,3051900,48-034420,2014-WTW-7377-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.492622,26.172997,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
30,Cameron County,4.7,297.79,1.200329046,3051931,48-034748,2014-WTW-7412-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.449486,26.252605,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
31,Cameron County,4.7,297.79,1.200329046,3051906,48-034500,2014-WTW-7383-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.470985,26.176226,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
32,Cameron County,4.7,297.79,1.200329046,3051912,48-034732,2014-WTW-7389-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.483742,26.197025,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
33,Cameron County,4.7,297.79,1.200329046,3051914,48-034738,2014-WTW-7391-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.476883,26.199835,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
34,Cameron County,4.7,297.79,1.200329046,3051923,48-034730,2014-WTW-7400-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.449173,26.236736,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
35,Cameron County,4.7,297.79,1.200329046,3051897,48-034761,2014-WTW-7374-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.525795,26.173176,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
36,Cameron County,4.7,297.79,1.200329046,3051888,48-034750,2014-WTW-7363-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.477562,26.149675,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
37,Cameron County,4.7,297.79,1.200329046,3051896,48-034766,2014-WTW-7373-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.529053,26.171326,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
38,Cameron County,4.7,297.79,1.200329046,3051926,48-034510,2014-WTW-7404-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.480164,26.236036,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
39,Cameron County,4.7,297.79,1.200329046,3051908,48-034779,2014-WTW-7385-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.52153,26.189526,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
40,Cameron County,4.7,297.79,1.200329046,3051927,48-034537,2014-WTW-7408-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.469322,26.252085,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
41,Cameron County,4.7,297.79,1.200329046,3051891,48-034736,2014-WTW-7366-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.470146,26.160206,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
42,Cameron County,4.7,297.79,1.200329046,3051894,48-034762,2014-WTW-7371-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.535652,26.166855,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
43,Cameron County,4.7,297.79,1.200329046,3051913,48-034735,2014-WTW-7390-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.480072,26.197996,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
44,Cameron County,4.7,297.79,1.200329046,3051885,48-034809,2014-WTW-7358-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,2/5/17,Digital Globe,-97.494919,26.140795,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
45,Cameron County,4.7,297.79,1.200329046,3051933,48-034511,2014-WTW-7414-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.477196,26.241137,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
46,Cameron County,4.7,297.79,1.200329046,3051919,48-034758,2014-WTW-7396-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,2/5/17,Digital Globe,-97.45137,26.205456,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
47,Cameron County,4.7,297.79,1.200329046,3051902,48-034492,2014-WTW-7379-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.485275,26.173965,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
48,Cameron County,4.7,297.79,1.200329046,3051929,48-034539,2014-WTW-7410-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.462006,26.252966,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
49,Cameron County,4.7,297.79,1.200329046,3051893,48-034817,2014-WTW-7370-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.524071,26.151926,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
50,Cameron County,4.7,297.79,1.200329046,3051921,48-034755,2014-WTW-7398-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.453384,26.229645,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
51,Cameron County,4.7,297.79,1.200329046,3051935,48-034513,2014-WTW-7416-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.47226,26.249306,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
52,Cameron County,4.7,297.79,1.200329046,3054524,48-035104,2015-WTW-3876-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,6/4/17,Digital Globe,-97.485947,26.147465,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
53,Cameron County,4.7,297.79,1.200329046,3051899,48-034489,2014-WTW-7376-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.496712,26.173586,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
54,Cameron County,4.7,297.79,1.200329046,3051889,48-034754,2014-WTW-7364-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.474342,26.151745,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
55,Cameron County,4.7,297.79,1.200329046,3051920,48-034749,2014-WTW-7397-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.456184,26.227556,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
56,Cameron County,4.7,297.79,1.200329046,3051911,48-034536,2014-WTW-7388-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.48761,26.196285,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
57,Cameron County,4.7,297.79,1.200329046,3054526,48-034792,2015-WTW-3878-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.527451,26.150686,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
58,Cameron County,4.7,297.79,1.200329046,3051932,48-034751,2014-WTW-7413-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.447403,26.256245,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
59,Cameron County,4.7,297.79,1.200329046,3051884,48-034767,2014-WTW-7357-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,2/5/17,Digital Globe,-97.498894,26.139755,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
60,Cameron County,4.7,297.79,1.200329046,3051930,48-034746,2014-WTW-7411-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,8/6/16,Digital Globe,-97.452072,26.249996,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
