,t_county,wind_speed,avg_temp_K,air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed
20,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051924.0,48-034487,2014-WTW-7402-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.486969,26.233397,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
21,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051887.0,48-034742,2014-WTW-7360-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,2/5/2017,Digital Globe,-97.488129,26.144697,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
22,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051928.0,48-034538,2014-WTW-7409-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.465553,26.252316,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
23,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051898.0,48-034756,2014-WTW-7375-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.522163,26.174335,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
24,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051910.0,48-034535,2014-WTW-7387-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.491302,26.195005,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
25,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051890.0,48-034765,2014-WTW-7365-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.471542,26.154806,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
26,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051895.0,48-034764,2014-WTW-7372-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.532425,26.169386,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
27,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051918.0,48-034757,2014-WTW-7395-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.45372,26.201996,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
28,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051886.0,48-034763,2014-WTW-7359-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,2/5/2017,Digital Globe,-97.491631,26.143106,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
29,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051900.0,48-034420,2014-WTW-7377-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.492622,26.172997,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
30,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051931.0,48-034748,2014-WTW-7412-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,8/6/2016,Digital Globe,-97.449486,26.252605,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
31,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051906.0,48-034500,2014-WTW-7383-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.470985,26.176226,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
32,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051912.0,48-034732,2014-WTW-7389-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.483742,26.197025,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
33,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051914.0,48-034738,2014-WTW-7391-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.476883,26.199835,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
34,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051923.0,48-034730,2014-WTW-7400-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,8/6/2016,Digital Globe,-97.449173,26.236736,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
35,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051897.0,48-034761,2014-WTW-7374-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.525795,26.173176,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
36,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051888.0,48-034750,2014-WTW-7363-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.477562,26.149675,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
37,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051896.0,48-034766,2014-WTW-7373-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.529053,26.171326,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
38,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051926.0,48-034510,2014-WTW-7404-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.480164,26.236036,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
39,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051908.0,48-034779,2014-WTW-7385-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.52153,26.189526,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
40,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051927.0,48-034537,2014-WTW-7408-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.469322,26.252085,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
