t_manu,t_model,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed
Vestas,V117-3.3,Steel,Painted,,,,13
Vestas,V117-3.45,Steel,Painted,,,,12.5
Vestas,V117-3.6,,,,,,
Vestas,V120-2.0,Steel,Painted,,,,
Vestas,V120-2.2,Steel,Painted,,,,18
Vestas,V126-3.45,Steel,Painted,,,,12
Vestas,V136-3.6,,,,,,
Vestas,V136-4.2,Steel,,,,,
Vestas,V136-4.3,,,,,,
Vestas,V150-4.2,Steel,Painted,,,,
Vestas,V150-4.3,,,,,,
Vestas,V27,Steel,Painted,GRP,43,61,14
Vestas,V39-0.5,Steel,Painted,GFK / Epoxy,30,61,15
Vestas,V44-0.6,Steel,Painted,GFK / Epoxy,28,65,16
Vestas,V47,Steel,Painted,GFK,28.5,70,15
Vestas,V47-0.66,,,,,,
Vestas,V66,Steel,Painted,GFRE,19.8,68,17
Vestas,V66-1.65,Steel,Painted,GFK / Epoxy,19,66,15
Vestas,V80-1.8,Steel,Painted,GFRP,16.8,70,15
Vestas,V82-1.65,Steel,,,10.8,,13
Vestas,V90-1.8,Steel,Painted,GFRP,14.9,70,12
Vestas,V90-3.0,Steel,Painted,,18.4,87,15
Bergey Energy,XL50,,,,,,
Zond,Z50,Steel,Painted,GFK,32.3,85,11.3
Endurance,,,,,,,
GE Wind,,,,,,,
GE Wind,,,,,,,
GE Wind,,,,,,,
GE Wind,,,,,,,
GE Wind,,,,,,,
